Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
1,Intel Core i9-7900X,+ 13.8MB,140,3300 ? 4500,10/20,86.6,12678,7287,49738,2.2,23.88,192.74,2148,2.91,217,121
2,Intel Core i7-6950X,2.5MB + 25MB,120,3000 ? 3500,10/20,74.9,10658,6231,40378,1.9,20,155.5,1859,3.5,196,101
3,Intel Xeon E5-2680 v4,3.5MB + 35MB,120,2400 ? 3300,14/28,51.9,8285.5,3707,30922,1.13,17.65,100,1657,,136.6,79.1
4,AMD Ryzen 7 1800X,4MB + 16MB,95,3600 ? 4000,8/16,67.8,9585,5062,32833,1.79,18,162,1619,4.6,179,84
6,Intel Core i7-8700K,1MB + 12MB,95,3700 ? 4700,6/12,79.3,11650,7413,39624,2.27,15.64,196.5,1413.5,4.48,232.5,87.3
7,AMD Ryzen 7 1700X,4MB + 16MB,95,3400 ? 3800,8/16,66,9076,4662,31950,1.73,16.95,154,1537,4.89,180,90.05
8,Intel Xeon E5-2697 v2,3MB + 30MB,130,2700 ? 3500,12/24,60.2,8843,4173,34776,1.25,17.6,105,1550,12.31,164.84,85.16
,,,,,,,,,,,,,,,,
9,Intel Core i7-7740X,1MB + 8MB,112,4300 ? 4500,4/8,72.2,10229,7395,29785,2.21,10.86,195,988,5.4,233.6,61.7
11,Intel Core i7-7700K,1MB + 8MB,91,4200 ? 4500,4/8,71.2,10156,7304.5,28903,2.19,10.37,192.5,938.5,5.56,230,61.6
13,Intel Core i5-8400,1MB + 9MB,65,2800 ? 4000,6/6,67,9474,6363.5,30789.5,1.9,10.99,167,945,6.2,223.8,61.4
14,Intel Core i7-5960X,2MB + 20MB,140,3000 ? 3500,8/16,65.4,9924,5193,33929,1.53,15.05,139,1387,4.25,191,82.3
15,AMD Ryzen 7 1700,4MB + 16MB,65,3000 ? 3700,8/16,61.2,8335,4419,29330,1.66,15.7,147,1413.85,6,153.85,74.4
16,Intel Core i7-4960X,1.5MB + 15MB,130,3600 ? 4000,6/12,59,8743,,,,11.23,144,1076,4.56,,
18,Intel Core i7-7700,1MB + 8MB,65,3600 ? 4200,4/8,61.1,,,,2.02,9.52,178,857,6.73,181,49
19,Intel Core i7-6700K,1MB + 8MB,91,4000 ? 4200,4/8,65,9037,6487,25817,1.97,9.65,177.5,880,6.66,204.75,54.58
20,Intel Xeon E5-2680,2MB + 20MB,130,2700 ? 3500,8/16,55.2,7924,4118,26801,1.26,11.95,,,4.87,,
21,Intel Core i7-3960X,1.5MB + 15MB,130,3300 ? 3900,6/12,59.9,8330,5013.5,27189.5,1.52,10.52,159,1158,5.12,173,54.8
22,Intel Core i7-4790K,1MB + 8MB,88,4000 ? 4400,4/8,64,9485,6520,25082,1.95,9.14,174,846,5.94,189.14,51.57
23,AMD Ryzen 5 1600,3MB + 16MB,65,3200 ? 3600,6/12,59.9,8222,4538,25970,1.65,12.57,147.5,1134,5.2,177,68.7
Ранг,Модель,L2 Cache + L3 Cache,TDP (Вт),МГц (норм. - - Turbo),Ядра / потоки,"Потенциал, %",3DMark06 CPU,CB R10 32Bit Single,CB R10 32Bit Multi,Cinebench R11.5 CPU Single 64Bit,CB R11.5 64Bit,Cinebench R15 CPU Single 64Bit,Cinebench R15 CPU Multi 64Bit,wPrime 32,x264 Pass 1,x264 Pass 2
24,Intel Xeon E3-1280 v5,1MB + 8MB,80,3700 ? 4000,4/8,60.4,8470,,,1.92,8.91,163,815,9.5,187.5,50.7
25,Intel Core i7-6700,1MB + 8MB,65,3400 ? 4000,4/8,61.6,8478,6002.5,24304.5,1.93,8.86,168.5,802,6.8,187.4,50.8
27,Intel Xeon E3-1535M v6,1MB + 8MB,45,3100 ? 4200,4/8,60.1,8227.5,6426,20729,1.92,7.48,175.5,806,10.61,169.29,39.78
29,Intel Core i7-7920HQ,1MB + 8MB,45,3100 ? 4100,4/8,56,,6169,24138,1.86,8.9,163,814,,189.6,50.6
30,Intel Core i7-4790,1MB + 8MB,84,3600 ? 4000,4/8,58,,5926,22667,1.79,8.29,158.5,765,6.39,171,46
