Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
"1. Видеокарты класса High-End
Эти карты обеспечивают наивысший возможный для мобильных компьютеров уровень производительности в 3D. Они вполне способны справиться с современными играми при высоком разрешении и выкрученных на максимум настройках графики. Однако в силу того, что данные видеокарты потребляют очень много энергии, они используются только в больших ноутбуках со слабым временем автономной работы.",,,,,,,,,,,,,,,,,,
3,NVIDIA GeForce GTX 1080 SLI (Laptop),Pascal,5120,,1556,1733,10000,2x 256,GDDR5,12 (FL 12_1),4.5,97.9,,161119,39221,50284,,
5,NVIDIA GeForce GTX 1070 SLI (Laptop),Pascal,4096,,1443,1645,8000,2x 256,GDDR5,12 (FL 12_1),4.5,86.2,,152370,32969,42910,,
7,NVIDIA GeForce GTX 1080 (Laptop),Pascal,2560,,1566,1733,10000,256,GDDR5X,12_1,4.5,73.4,420914,125447,21534,28458,36927,
9,NVIDIA GeForce GTX 1080 Max-Q,Pascal,2560,,1101 - 1290,1278 - 1468,10000,256,GDDR5X,12_1,4.5,70.4,387951,114542,18219,23540,31555,1365
10,NVIDIA GeForce GTX 980 SLI (Laptop),Maxwell,4096,,1126,1228,3500,2x 256,GDDR5,12 (FL 12_1),4.5,77.1,,155238,25453,33169,35639,
11,NVIDIA Quadro P5200,Pascal,2048,,1556,1746,7200,256,GDDR5,12_1,4.5,,,,,,,
13,NVIDIA GeForce GTX 1070 (Laptop),Pascal,2048,,1443,1645,8000,256,GDDR5,12_1,4.5,58.9,337468,100453,17150.5,22468.5,30279,
,,,,,,,,,,,,,,,,,,
14,NVIDIA Quadro P5000,Pascal,2048,,1164,1506,6006,256,GDDR5,12_1,4.5,64,401246,86679,14666,20096,33236,1192.41
16,NVIDIA GeForce GTX 1070 Max-Q,Pascal,2048,,1101 - 1215,1265 - 1379,8000,256,GDDR5,12_1,4.5,54.7,332816,101163,14607,18689,27313.5,
17,NVIDIA Quadro P5000 Max-Q,Pascal,2048,,1101,1366,6006,256,GDDR5,12_1,4.5,,,,,,,
18,NVIDIA GeForce GTX 980M SLI,Maxwell,3072,,1038,1127,5000,2x 256,GDDR5,12 (FL 12_1),4.5,57.2,,124076,18632,22006,26604,
23,NVIDIA GeForce GTX 980 (Laptop),Maxwell,2048,,1126,1228,3500,256,GDDR5,12 (FL 12_1),4.5,53.7,347481,76705,13047,17200.5,32943,
24,NVIDIA Quadro M5500,Maxwell,2048,,1139,1140,6606,256,GDDR5,12 (FL 12_1),4.5,,,,,,,
25,NVIDIA Quadro P4000,Pascal,1792,,1202,,6006,256,GDDR5,12_1,4.5,54.4,369407,53834,12259,15433,29155,1114.39
26,NVIDIA Quadro P4000 Max-Q,Pascal,1792,,1113,1240,6006,256,GDDR5,12_1,4.5,48.1,297918,74933,12312,15837,28211,
28,NVIDIA GeForce GTX 970M SLI,Maxwell,2560,,924,1038,5000,2x 192,GDDR5,12 (FL 12_1),,51.4,256573,96943.5,14759.5,18870,28182.5,
30,NVIDIA Quadro P3000,Pascal,1280,,1088,1215,7008,192,GDDR5,12_1,4.5,46.7,331998,63331.5,9255.5,11633.5,29440,711.6
31,NVIDIA Quadro P3000 Max-Q,Pascal,1280,,1075,1240,7008,192,GDDR5,12_1,4.5,,,,,,,
33,AMD Radeon RX 580 (Laptop),Polaris,2304,,1077,,,,GDDR5,12,,33,,68629,11010,15264,,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
34,NVIDIA GeForce GTX 1060 (Laptop),Pascal,1280,,1506,1708,8000,192,GDDR5,12_1,4.5,45.3,297004,69575,11440.5,14731.5,25661,
35,NVIDIA GeForce GTX 1060 Max-Q,Pascal,1280,,1063 - 1265,1341 - 1480,8000,192,GDDR5,12_1,4.5,38.6,287286,65299.5,10300.5,13177,,
39,AMD Radeon Pro WX 7100,Polaris,2304,,,1243,7000,256,GDDR5,12,Vulkan,,,,,,,
41,AMD Radeon RX 570 (Laptop),Polaris,2048,,,,7000,256,GDDR5,12,Vulkan,,,,,,,
42,AMD Radeon RX 470 (Laptop),Polaris,2048,,926,1206,7000,256,GDDR5,12,Vulkan,,,,,,,
Архивные (старые): AMD Radeon RX 480 (Laptop) (Polaris),,,,,,,,,,,,,,,,,,
"2. Видеокарты среднего диапазона
Эти видеоадаптеры справляются с большинством современных игр и демонстрируют в них более или менее комфортную частоту смены кадров. Однако особенно требовательные детища игровой индустрии придется на них запускать со средней или низкой детализацией. Плюсом таких видеокарт является то, что их можно использовать в не очень больших ноутбуках с приличным временем автономной работы.",,,,,,,,,,,,,,,,,,
43,NVIDIA GeForce GTX 880M SLI,Kepler,3072,,954,,5000,2x 256,GDDR5,12 (FL 11_0),4.3,35.8,,77057,11817,15823,,
47,NVIDIA GeForce GTX 965M SLI,Maxwell,2048,,924,950,5000,2x 128,GDDR5,12 (FL 12_1),,34.9,250259,51182,10207,14428,,
52,NVIDIA GeForce GTX 980M,Maxwell,1536,,1038,1127,5000,256,GDDR5,12 (FL 12_1),4.5,45.5,327632,65241,9677,12517,26811,660
53,NVIDIA Quadro M5000M,Maxwell,1536,,962,1051,5000,256,GDDR5,12_1,4.5,46.1,324161,63738,9227.5,11845,30962,
57,NVIDIA GeForce GTX 1050 Ti (Notebook),Pascal,768,,1493,1620,7000,128,GDDR5,12_1,4.5,40.2,298608,50499,7766,9741,27472,
59,NVIDIA GeForce GTX 970M,Maxwell,1280,,924,1038,5000,192,GDDR5,12 (FL 12_1),4.5,38.6,274626,51247,7463,9877.5,26468,
60,NVIDIA Quadro M4000M,Maxwell,1280,,975,1013,5012,256,GDDR5,12_1,4.5,23.1,,49204,7723,10259,,
65,AMD Radeon R9 M395X,GCN 3,2048,,,909,5460,256,GDDR5,12 (FL 12_0),,19.5,,,7921,,,
66,AMD Radeon R9 M485X,GCN 3,2048,,,,5000,256,GDDR5,12 (FL 12_0),,,,,,,,
67,AMD Radeon R9 M295X,GCN 3,2048,,,850,5448,256,GDDR5,12 (FL 12_0),,34.2,,38132,6590.5,8850.5,35421,393
68,AMD Radeon R9 M390X,GCN 3,2048,,,723,5000,256,GDDR5,12 (FL 12_0),4.3 / Vulkan,,,,,,,
69,NVIDIA Quadro M3000M,Maxwell,1024,,1050,,5000,256,GDDR5,12_1,4.5,31.3,,44602.5,6536.5,8288.5,27320.5,
71,NVIDIA GeForce GTX 1050 (Notebook),Pascal,640,,1354,1493,7000,128,GDDR5,12_1,4.5,36.6,282600,37840,6022.5,7721.5,27132,532.5
72,AMD FirePro W7170M,GCN 3,2048,,723,,5000,256,GDDR5,12 (FL 12_0),4.3 / Vulkan,32.7,,43124,6935,9708,28430,
73,AMD Radeon R9 M395,GCN,1792,,834,,5460,256,GDDR5,12 (FL 12_0),4.3 / Vulkan,19.1,,38490,6819,8656,,
Ранг,Модель,Архитектура,Пикс. шейдеры,Вершин. шейдеры,Штатная частота,Turbo,Частота памяти,Шина памяти,Тип,Версия DirectX,OpenGL,"Потенциал, %",3DMark Ice Storm GPU,3DMark Cloud Gate GPU,3DMark Fire Strike Graphics,3DMark11 P GPU,3DMark06,GFXBench
76,NVIDIA GeForce GTX 880M,Kepler,1536,,954,,5000,256,GDDR5,12 (FL 11_0),4.3,31.6,268706,39891,6101,8578,29036.5,65
81,NVIDIA GeForce GTX 780M,Kepler,1536,,823,,5000,256,GDDR5,11,4.3,26.6,,35965,5244,7776.5,23381.5,
82,NVIDIA Quadro K5100M,Kepler,1536,,771,,3600,256,GDDR5,11,4.3,20.9,2197,31015,4793,6880,24910,
85,AMD Radeon RX 560 (Laptop),Polaris,896,,,,6000,128,GDDR5,12,Vulkan,,,,,,,
